SCHED 925ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21268 [ 6 2 ] schedticks=[ 670 674 ]
SCHED 938ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21268 [ 6 2 ] schedticks=[ 670 675 ]
SCHED 951ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21268 [ 6 2 ] schedticks=[ 671 675 ]
SCHED 961ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21268 [ 6 2 ] schedticks=[ 671 676 ]
SCHED 973ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 673 676 ]
SCHED 985ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 673 677 ]
SCHED 998ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 674 677 ]
SCHED 1010ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 2 ] schedticks=[ 674 678 ]
SCHED 1023ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 675 680 ]
SCHED 1036ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 675 681 ]
SCHED 1046ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 676 681 ]
SCHED 1059ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 676 682 ]
SCHED 1070ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 677 682 ]
SCHED 1081ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 677 683 ]
SCHED 1094ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 678 683 ]
SCHED 1105ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 678 684 ]
SCHED 1118ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 679 684 ]
SCHED 1128ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 679 685 ]
SCHED 1141ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 680 685 ]
SCHED 1152ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 680 686 ]
SCHED 1163ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 681 686 ]
SCHED 1175ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 7 1 ] schedticks=[ 681 687 ]
SCHED 1185ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21267 [ 6 1 ] schedticks=[ 682 687 ]
