SCHED 1025ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1311 [ 98 4 ] schedticks=[ 988 904 ]
SCHED 1036ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1311 [ 85 4 ] schedticks=[ 1000 904 ]
SCHED 1047ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1183 [ 85 119 ] schedticks=[ 1000 918 ]
SCHED 1057ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1184 [ 71 112 ] schedticks=[ 1014 925 ]
SCHED 1068ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1184 [ 58 112 ] schedticks=[ 1027 925 ]
SCHED 1080ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1184 [ 43 96 ] schedticks=[ 1043 941 ]
SCHED 1091ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1184 [ 34 82 ] schedticks=[ 1052 955 ]
SCHED 1101ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1184 [ 34 69 ] schedticks=[ 1052 968 ]
SCHED 1112ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1185 [ 20 61 ] schedticks=[ 1066 976 ]
SCHED 1123ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1185 [ 6 61 ] schedticks=[ 1080 976 ]
SCHED 1134ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1057 [ 120 47 ] schedticks=[ 1094 991 ]
SCHED 1145ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1056 [ 108 34 ] schedticks=[ 1107 1004 ]
SCHED 1156ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1056 [ 94 20 ] schedticks=[ 1121 1018 ]
SCHED 1168ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1056 [ 90 10 ] schedticks=[ 1125 1028 ]
SCHED 1179ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1056 [ 90 10 ] schedticks=[ 1125 1028 ]
SCHED 1189ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=929 [ 77 126 ] schedticks=[ 1138 1041 ]
SCHED 1205ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=929 [ 58 109 ] schedticks=[ 1157 1058 ]
SCHED 1218ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=928 [ 47 108 ] schedticks=[ 1169 1059 ]
SCHED 1230ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=928 [ 39 108 ] schedticks=[ 1177 1059 ]
SCHED 1241ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=929 [ 39 94 ] schedticks=[ 1177 1073 ]
SCHED 1252ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=930 [ 25 80 ] schedticks=[ 1191 1087 ]
SCHED 1264ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=929 [ 18 65 ] schedticks=[ 1198 1103 ]
SCHED 1275ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=929 [ 18 57 ] schedticks=[ 1198 1111 ]
SCHED 1287ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=930 [ 3 57 ] schedticks=[ 1213 1111 ]
SCHED 1297ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=802 [ 119 44 ] schedticks=[ 1226 1125 ]
